,HW1,HW2,HW3,HW4,HW5,HW6,HW7,HW8,HW9,ATT,QZ1,QZ2,QZ3,QZ4,EX1,EX2,Test1,Test2,Lab,Homework,Quiz,Overall,Grade
115,72.5,62.5,100,99,100,0,0,100,99,10,91.66666667,83.33333333,0,85,62.4,78.75,78,87.5,83.33333333,70.0625,56.11111111,69.93625,C-
116,87,100,92.5,80,100,89,50,80,98,12,83.33333333,0,60,85,66.4,82.8,83,92,100,86.1875,48.33333333,77.08625,C
117,75,100,100,90,100,95,97,95,85,12,91.66666667,66.66666667,65,95,62.4,60.3,78,67,100,95.25,75.55555556,77.46333333,C
118,92.5,85,85,0,95,99,81,90,75,12,91.66666667,94.44444444,45,90,52.8,75.15,66,83.5,100,76.25,76.48148148,73.69472222,C
119,84,100,87.5,70,100,97,100,90,100,12,83.33333333,61.11111111,95,80,42.4,55.35,53,61.5,100,93.0625,78.7037037,72.04180556,C
120,77.5,95,95,95,90,89,99,90,85,12,100,77.77777778,90,100,71.2,87.3,89,97,100,92.25,89.25925926,87.12888889,B+
121,62.5,90,52.4,90,54,75,25,0,60,11,50,11.11111111,0,5,21.6,23.4,27,26,91.66666667,55.8,5.37037037,36.88222222,F
122,80,85,85,90,72,95,92,100,60,12,79.16666667,72.22222222,55,90,65.6,65.7,82,73,100,84.875,72.40740741,75.86861111,C
123,0,62.5,10,55,66,0,0,60,30,7,75,0,15,40,32.8,29.25,41,32.5,58.33333333,35.4375,18.33333333,33.08708333,F
124,87.5,85,100,100,95,90,100,90,80,12,100,83.33333333,65,95,49.6,62.1,62,69,100,92.5,81.11111111,75.36166667,C
125,77.5,95,75,100,100,90,97.5,95,100,12,100,88.88888889,95,85,56,73.8,70,82,100,94.0625,89.62962963,81.31319444,B-
126,92.5,100,100,100,100,93,88,100,80,12,66.66666667,27.77777778,75,90,64.8,69.75,81,77.5,100,95.125,64.25925926,78.57388889,C+
127,88.5,100,100,100,100,99,100,100,100,12,100,100,85,90,68,77.4,85,86,100,99.875,91.66666667,86.6625,B+
128,50,100,97.5,75,76.25,94,77,93.5,75,12,91.66666667,100,90,100,70.4,76.5,88,85,100,86.03125,96.66666667,83.514375,B
129,80,100,77.5,77.5,95,90,95,80,0,9,66.66666667,77.77777778,67.5,0,76,58.95,95,65.5,75,76.875,48.42592593,67.76388889,C-
130,77.5,90,100,100,90,95,97,100,100,12,75,77.77777778,80,90,64.8,59.85,81,66.5,100,96.5,82.59259259,79.26138889,C+
131,86,97.5,100,90,100,98,97,100,100,12,83.33333333,100,90,100,77.6,80.1,97,89,100,97.8125,96.66666667,89.38875,A-
132,100,100,97.5,100,100,100,100,100,100,12,100,100,100,100,80,85.5,100,95,100,99.6875,100,92.28125,A
133,95,85,100,100,100,93,100,90,100,12,100,100,90,100,72,84.6,90,94,100,96,96.66666667,88.85,A-
134,100,99,100,90,100,99,100,95,99,12,100,88.88888889,95,95,72,78.3,90,87,100,97.75,92.96296296,87.24444444,B+
135,60,100,92.5,100,100,94,100,80,100,12,75,50,45,65,62.4,75.6,78,84,100,95.8125,53.33333333,78.12375,C+
136,87.5,92.5,100,80,95,89,95,95,90,12,83.33333333,77.77777778,65,70,55.2,79.2,69,88,100,92.0625,70.92592593,79.09763889,C+
137,99,83,92.5,98,100,0,0,0,0,6,33.33333333,16.66666667,0,0,29.6,12.6,37,14,50,46.6875,5.555555556,28.90958333,F
138,100,100,100,100,100,100,0,100,96,11,75,77.77777778,55,80,64.8,58.5,81,65,91.66666667,87,70.92592593,73.49055556,C
139,82.5,100,93.5,100,100,95,80,90,100,12,66.66666667,88.88888889,70,85,63.2,63.45,79,70.5,100,94.8125,81.2962963,79.14069444,C+
140,52.5,100,82.5,90,100,94,100,75,85,12,91.66666667,50,42.5,85,66.8,74.25,83.5,82.5,100,90.8125,59.16666667,78.04125,C+
